ID	Description
R-HSA-1226099	Signaling by FGFR in disease
R-HSA-1227990	Signaling by ERBB2 in Cancer
R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants
R-HSA-1643713	Signaling by EGFR in Cancer
R-HSA-1839120	Signaling by FGFR1 amplification mutants
R-HSA-1839122	Signaling by activated point mutants of FGFR1
R-HSA-1839124	FGFR1 mutant receptor activation
R-HSA-1839126	FGFR2 mutant receptor activation
R-HSA-1839128	FGFR4 mutant receptor activation
R-HSA-1839130	Signaling by activated point mutants of FGFR3
R-HSA-2023837	Signaling by FGFR2 amplification mutants
R-HSA-2033514	FGFR3 mutant receptor activation
R-HSA-2033515	t(4;14) translocations of FGFR3
R-HSA-2033519	Activated point mutants of FGFR2
R-HSA-2219528	PI3K/AKT Signaling in Cancer
R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer
R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer
R-HSA-2644603	Signaling by NOTCH1 in Cancer
R-HSA-2644605	FBXW7 Mutants and NOTCH1 in Cancer
R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants
R-HSA-2644607	Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling
R-HSA-2660825	Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant
R-HSA-2660826	Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant
R-HSA-2691230	Signaling by NOTCH1 HD Domain Mutants in Cancer
R-HSA-2691232	Constitutive Signaling by NOTCH1 HD Domain Mutants
R-HSA-2894858	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer
R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
R-HSA-3304347	Loss of Function of SMAD4 in Cancer
R-HSA-3304349	Loss of Function of SMAD2/3 in Cancer
R-HSA-3304351	Signaling by TGF-beta Receptor Complex in Cancer
R-HSA-3304356	SMAD2/3 Phosphorylation Motif Mutants in Cancer
R-HSA-3311021	SMAD4 MH2 Domain Mutants in Cancer
R-HSA-3315487	SMAD2/3 MH2 Domain Mutants in Cancer
R-HSA-3642278	Loss of Function of TGFBR2 in Cancer
R-HSA-3642279	TGFBR2 MSI Frameshift Mutants in Cancer
R-HSA-3645790	TGFBR2 Kinase Domain Mutants in Cancer
R-HSA-3656532	TGFBR1 KD Mutants in Cancer
R-HSA-3656534	Loss of Function of TGFBR1 in Cancer
R-HSA-3656535	TGFBR1 LBD Mutants in Cancer
R-HSA-4791275	Signaling by WNT in cancer
R-HSA-4839735	Signaling by AXIN mutants
R-HSA-4839743	Signaling by CTNNB1 phospho-site mutants
R-HSA-4839744	Signaling by APC mutants
R-HSA-4839748	Signaling by AMER1 mutants
R-HSA-5340573	LGK974 inhibits PORCN
R-HSA-5340588	Signaling by RNF43 mutants
R-HSA-5358747	CTNNB1 S33 mutants aren't phosphorylated
R-HSA-5358749	CTNNB1 S37 mutants aren't phosphorylated
R-HSA-5358751	CTNNB1 S45 mutants aren't phosphorylated
R-HSA-5358752	CTNNB1 T41 mutants aren't phosphorylated
R-HSA-5423599	Diseases of Mismatch Repair (MMR)
R-HSA-5467333	APC truncation mutants are not K63 polyubiquitinated
R-HSA-5467337	APC truncation mutants have impaired AXIN binding
R-HSA-5467340	AXIN missense mutants destabilize the destruction complex
R-HSA-5467343	Deletions in the AMER1 gene destabilize the destruction complex
R-HSA-5467345	Deletions in the AXIN1 gene destabilize the destruction complex
R-HSA-5467348	Truncations of AMER1 destabilize the destruction complex
R-HSA-5545483	Defective Mismatch Repair Associated With MLH1
R-HSA-5545619	XAV939 stabilizes AXIN
R-HSA-5632927	Defective Mismatch Repair Associated With MSH3
R-HSA-5632928	Defective Mismatch Repair Associated With MSH2
R-HSA-5632968	Defective Mismatch Repair Associated With MSH6
R-HSA-5632987	Defective Mismatch Repair Associated With PMS2
R-HSA-5637810	Constitutive Signaling by EGFRvIII
R-HSA-5637812	Signaling by EGFRvIII in Cancer
R-HSA-5637815	Signaling by Ligand-Responsive EGFR Variants in Cancer
R-HSA-5638302	Signaling by Overexpressed Wild-Type EGFR in Cancer
R-HSA-5638303	Inhibition of Signaling by Overexpressed EGFR
R-HSA-5655253	Signaling by FGFR2 in disease
R-HSA-5655291	Signaling by FGFR4 in disease
R-HSA-5655302	Signaling by FGFR1 in disease
R-HSA-5655332	Signaling by FGFR3 in disease
R-HSA-5674400	Constitutive Signaling by AKT1 E17K in Cancer
R-HSA-5674404	PTEN Loss of Function in Cancer
R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants
R-HSA-6802948	Signaling by high-kinase activity BRAF mutants
R-HSA-6802949	Signaling by RAS mutants
R-HSA-6802952	Signaling by BRAF and RAF1 fusions
R-HSA-6802953	RAS signaling downstream of NF1 loss-of-function variants
R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF
R-HSA-6802957	Oncogenic MAPK signaling
R-HSA-8853333	Signaling by FGFR2 fusions
R-HSA-8853334	Signaling by FGFR3 fusions in cancer
R-HSA-8853336	Signaling by plasma membrane FGFR1 fusions
R-HSA-9006821	Alternative Lengthening of Telomeres (ALT)
